,artist_name,track_name,track_id,popularity,explicit,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22,All-Star Bossa Band,Best Brazilian Bossa Nova Album,4MxyrP9mGyLh1ex9KtFxzB,7,False,0.715,0.6,67606,0.219,0.156,7,0.117,-20.341,0,0.138,141.755,4,0.402
23,Brazil Beat,Desafinado,2e7VZvUA8GxpFKtxRqQXLd,18,False,0.81,0.589,124959,0.68,0.000106,0,0.155,-9.932,1,0.0921,79.197,4,0.88
24,Elizeth Cardoso,Outra Vez,0RPQRVFDJVvuej7JbE0H40,6,False,0.903,0.469,117120,0.211,0.0,11,0.101,-11.533,1,0.0356,91.498,4,0.497
25,Brazil Beat,Agua de Beber,05s5F8sPwMGAWp3pYcejNV,18,False,0.621,0.565,236603,0.728,1.25e-05,11,0.345,-8.232,0,0.0306,145.509,4,0.779
26,Carlos Lyra,Voce e Eu,2P3ARShhYtLBshVPDIq4ED,32,False,0.654,0.667,65427,0.498,0.0,7,0.0703,-13.98,1,0.0589,94.971,4,0.313
27,Stevie Ray Vaughan,Pride and Joy,1oT20g6f8rvymheUIdFr19,57,False,0.0251,0.426,219840,0.693,0.0065,8,0.101,-9.759,1,0.0377,126.804,4,0.751
28,David Gilmour,Rattle That Lock,6IYLjqSKQ4ma8FwlZd9LLI,50,False,0.325,0.71,295573,0.62,0.0,0,0.165,-11.62,0,0.0422,120.068,4,0.786
29,David Gilmour,5 A.M.,08QGWV2nWYOG60RMsVbMwA,49,False,0.931,0.199,184880,0.144,0.879,7,0.0394,-17.358,1,0.0339,73.047,4,0.122
30,Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",3BEZCNZSmVv30vsMNSOCri,69,False,0.321,0.558,289027,0.524,0.000952,2,0.94,-11.626,0,0.0459,93.654,4,0.636
31,Paul Gilbert,Space Ship One,2njdaRo9VPTDwEMla0eDsO,15,False,0.00258,0.466,358640,0.944,0.113,4,0.509,-7.17,1,0.0684,146.069,4,0.374
32,Paul Gilbert,I Can Destroy,2fL7nZuUUINaY9KxSWPYDw,15,False,0.000515,0.54,350346,0.973,0.384,1,0.109,-5.15,0,0.0896,135.045,4,0.49
33,Guthrie Govan,Beautiful Imperfection,4iEoUECNzIWUqBOnoRaU9y,42,False,0.239,0.366,140690,0.493,0.73,0,0.172,-8.635,1,0.0336,173.657,3,0.223
34,Guthrie Govan,Jelly Bean,5rjj4mW6SqjoSS5StnhbZy,38,False,0.00154,0.574,139115,0.596,0.649,2,0.105,-6.025,1,0.0308,113.007,4,0.47
35,Guthrie Govan,Heart of the City,0pcwaoBxngoFE5qIL8FDWy,37,False,0.0123,0.404,120000,0.458,0.748,7,0.332,-7.209,1,0.0284,80.767,3,0.346
36,Guthrie Govan,Hollywood Woman,4N5QsHoAC40TVNWKxQXjXF,39,False,0.000181,0.645,116000,0.717,0.73,2,0.128,-4.57,1,0.0319,120.011,4,0.659
37,Liquid Tension Experiment,Paradigm Shift,65IpX5n4xwWeoXQNdtXHos,42,False,0.000326,0.295,535360,0.914,0.881,7,0.399,-3.411,1,0.0526,137.44,4,0.654
38,Guthrie Trapp,Pick Peace,6l8IpQiRIhFdpJnVwpSCJE,12,False,0.663,0.389,261000,0.4,0.78,4,0.0967,-12.893,1,0.0313,137.081,4,0.596
39,Guthrie Trapp,Huevos Al Gusto,0qeH8E7ZgwCqP5H5iq0K4z,8,False,0.945,0.489,286813,0.386,0.912,7,0.124,-13.284,1,0.0373,124.614,4,0.771
40,Richard Thompson,1952 Vincent Black Lightning,1KueOLeUZpaNRK2InckxVT,58,False,0.374,0.488,283493,0.209,5.05e-06,10,0.103,-19.549,1,0.0369,120.63,4,0.362
41,Richard Thompson,Dad's Gonna Kill Me,1ZDuIGomNjb4LdFb6brtMM,40,False,0.21,0.408,393280,0.806,0.00142,4,0.551,-6.88,1,0.0773,141.978,4,0.527
42,Derek Trucks,Keep Your Lamp Trimmed And Burning,07QrZxyFB6CLmsM22JgjS4,0,False,0.651,0.695,192000,0.331,0.0,9,0.226,-9.73,1,0.101,70.549,4,0.338
43,Jerry Garcia,Shady Grove,1gCE4LxErCB25MSERdLCZX,48,False,0.924,0.706,259533,0.378,0.0738,7,0.0931,-15.293,1,0.0379,106.123,4,0.955
44,Merl Saunders,After Midnight,4VCX5CRk5QXwNTS9FYXmZK,0,False,0.479,0.549,303947,0.773,0.766,9,0.0704,-9.245,1,0.0624,171.362,4,0.913
45,Eric Clapton,Riding with the King,618hiI74zBL8UVgAvfmkLj,60,False,0.384,0.462,264240,0.796,0.0,9,0.296,-6.202,1,0.0322,204.028,4,0.824
46,Eric Clapton,Key to the Highway,1r6Xp7EiQQ7F63HjbFHNJn,49,False,0.328,0.798,219960,0.538,0.00206,7,0.182,-11.412,1,0.0363,81.018,4,0.677
47,B.B. King,The Thrill Is Gone,1xW9HHRQe8MMGF8SBNgkBY,6,False,0.0934,0.692,301133,0.493,0.00166,9,0.128,-9.662,0,0.0325,86.644,4,0.28
48,John Frusciante,The Will To Death,3x3zdepy3au5Uo81WIA9MG,51,False,0.691,0.498,228427,0.113,0.000287,6,0.108,-16.097,0,0.0333,168.383,4,0.296
49,John Frusciante,Song To Sing When I'm Lonely,2a0WwSvmFdXPTdDMilPA1y,55,False,0.294,0.629,195213,0.673,0.0109,6,0.139,-4.379,1,0.0262,114.243,4,0.419
50,Yngwie Malmsteen,Black Star,7hSfJb9Ku4Vv8KuoOmxICV,0,False,0.00291,0.315,291240,0.727,0.171,11,0.0809,-14.009,1,0.0525,145.975,4,0.459
51,Mick Taylor,Baby I Want You,0eRJXnv6X9aBdcoprEWoQD,11,False,0.653,0.476,314067,0.413,3.89e-05,4,0.396,-16.014,1,0.0447,128.12,4,0.557
52,Viktoria Tolstoy,Jag yet en Dejlig Rosa,2La499sjovLjV6qNA6qb6c,3,False,0.976,0.461,296133,0.055,0.000375,11,0.0744,-18.9,0,0.039,105.575,4,0.154
53,Ulf Wakenius,Psalmen,59WtoOIuxKqxHzqcl0oUj0,17,False,0.894,0.471,276413,0.0425,0.642,7,0.106,-19.511,0,0.0458,131.46,5,0.268
54,"Emerson, Lake & Palmer",From the Beginning - Alt Version,0HNx3yZAbROflsBPgdoHzk,27,False,0.297,0.615,255693,0.202,0.0402,4,0.119,-15.692,0,0.0397,132.67,4,0.337
55,Julien Marchal,Insight XVIII,63c2wQLecLj2ipResNd3Av,0,False,0.971,0.452,258000,0.156,0.887,1,0.13,-22.957,0,0.0679,119.823,4,0.144
56,Kalabrese,Is This,7MiVpEYwAeVyf0hBCJjBkj,38,False,0.261,0.811,414319,0.382,0.756,9,0.086,-15.661,0,0.0526,113.988,4,0.253
57,Nils Landgren,Broken Wings,4z6tH3zumKmwiADG1hlrSc,27,False,0.751,0.534,248791,0.393,0.000943,4,0.111,-13.471,0,0.0295,108.098,4,0.304
58,Sting,Inshallah,7pXcAWIUsTmKhDhQZ4ekhj,1,False,0.723,0.545,296440,0.426,0.703,4,0.181,-13.739,0,0.0335,119.748,4,0.0376
59,Jim Hall,Concierto De Aranjuez,0QVvZNHwBOPAGXgUfkfL5P,39,False,0.928,0.516,1160400,0.165,0.878,2,0.109,-22.397,0,0.0354,130.431,4,0.228
60,Yello,Cold Flame,5VIBONiBOcptQK3tB1ACFd,1,False,0.0224,0.752,242293,0.589,0.286,6,0.0728,-14.102,0,0.0634,127.022,4,0.445
61,Frankie Laine,Rawhide (with Jimmy Carroll & His Orchestra),6qvqFxwWrdmv8lUOMdo11f,36,False,0.837,0.657,120373,0.574,0.0,5,0.152,-9.75,0,0.0314,104.059,4,0.7
62,Camel Power Club,Oboe,5MaCqzCW4gx0Qs5m1bVPna,37,False,0.298,0.746,325587,0.666,0.698,0,0.0983,-8.342,1,0.0351,114.992,4,0.393
63,Alì Farahani,Younan,5mzakuJeEfkwBusJHVybMv,47,False,0.0187,0.825,418413,0.497,0.773,11,0.141,-10.435,0,0.0724,104.004,4,0.0623
64,Michael Jackson,Beat It - Single Version,1OOtq8tRnDM8kG2gqUPjAj,76,False,0.0491,0.779,258040,0.867,7.98e-06,3,0.197,-3.704,0,0.0457,138.858,4,0.915
65,Marc Taynor,Once Upon A Time In The West,7F7MEwkwyzcJgnUaNu7e1Q,9,False,0.71,0.352,166120,0.263,0.156,9,0.148,-11.785,0,0.0307,100.219,4,0.0601
66,Federale,Hero,4pdp9ZMYsBlriqAAAMfsu9,29,False,0.51,0.493,192120,0.301,0.114,4,0.13,-15.194,0,0.0386,153.226,3,0.465
67,Bag Raiders,Shooting Stars - Original Mix,0qZDOfTqF4OGaako5PopdQ,1,False,0.0631,0.669,233333,0.714,0.00214,11,0.117,-5.379,1,0.0395,124.997,4,0.427
68,Napkey,Rebirth,7dYShlaswYMfWTPyWpmgVv,2,False,0.00435,0.72,311111,0.514,0.283,11,0.692,-12.088,1,0.0365,107.982,4,0.203
69,Ah! Kosmos,Mavi,11qOIayRckhY5H2HVwEzJP,39,False,0.0114,0.535,263703,0.691,0.837,10,0.0854,-9.586,1,0.0369,101.005,4,0.292
70,Satori,Days Without You (Crussen Remix),5gYwFcI49P0ijDDvmpgWS9,5,False,0.0677,0.894,643116,0.517,0.384,10,0.112,-8.021,0,0.0365,106.003,4,0.409
71,Marian Herzog,No Sanctuary Here feat. Chris Jones,4rm1jsomJhtdLU3ewNUjOQ,32,False,0.014,0.938,370413,0.385,0.00601,7,0.0976,-12.193,1,0.12,116.012,4,0.415
72,Laidback,Beautiful Day,3SJY53oFCra9sKQYyWrhtI,33,False,0.00162,0.768,418427,0.536,0.659,7,0.186,-9.313,1,0.0318,123.997,4,0.552
73,Blond:ish,It Starts Now,4jGdL3hfHEcutGIgmOvk96,44,False,0.727,0.462,282870,0.453,0.00312,11,0.127,-17.292,0,0.432,180.572,4,0.064
74,Stavroz,The Finishing - Viken Arman Remix,70G0rxN6t88G7GvsyJYePg,34,False,0.018,0.651,368460,0.487,0.922,1,0.0982,-13.136,0,0.0298,120.002,4,0.115
75,Warhaus,The Good Lie,3emnFZK1T0xcdRGtbC7zNw,42,True,0.0277,0.821,216320,0.557,0.671,7,0.0988,-10.029,1,0.167,119.023,4,0.397
76,ÌFÉ,House of Love - Nicola Cruz Remix,1LJ8UIvmBr6H3nf83geRZK,0,False,0.53,0.664,325665,0.393,0.0595,11,0.0979,-11.929,0,0.141,159.932,4,0.478
77,Paul Carrack,Sleep on It,0sKugsj4YDucL6bbGO9kuv,40,False,0.0259,0.782,240283,0.666,5.07e-06,9,0.125,-8.898,0,0.0268,120.033,4,0.933
78,SIS,Sombra India - Eduardo Castillo Remix,2WmEts02KdYbCFXpqhq8BS,38,False,0.358,0.752,400726,0.628,0.0121,6,0.113,-11.062,0,0.0541,110.219,4,0.461
79,Kleintierschaukel,Motomia,3o8EW5nZYcna5KGHNMSx68,44,False,0.305,0.979,403530,0.432,0.9,5,0.105,-11.704,0,0.208,109.976,4,0.455
80,The Highwaymen,Highwayman,7jWbXvrgdbkajU8L28ahn5,67,False,0.48,0.67,182653,0.351,0.0176,2,0.115,-16.842,1,0.0463,101.384,4,0.45
81,Johnny Cash,Ring of Fire,6YffUZJ2R06kyxyK6onezL,70,False,0.623,0.659,158427,0.585,0.000213,7,0.348,-8.189,1,0.0288,104.111,4,0.784
82,Voidoid,Hooked On A Feeling,3cxqGJCUHhVhWu3Rd13vQA,33,False,0.514,0.454,170000,0.684,0.0,8,0.324,-8.101,1,0.0667,117.346,4,0.797
83,L'Impératrice,L'impératrice,1dAvejWE7seFf35sgVqQbn,40,False,0.691,0.685,305055,0.775,0.0733,5,0.0959,-8.103,0,0.0578,98.044,4,0.153
84,Los Manolos,Seré Feliz,1SUIDBqboPlpwxAgyGTqJq,32,False,0.0712,0.731,201600,0.785,1.68e-05,5,0.0345,-9.189,0,0.0763,116.044,4,0.87
85,Cristian Lange,Hedge Funds,4vWYI3bCDyeq1CFfpNP6bc,0,False,0.906,0.393,189945,0.0512,0.876,0,0.108,-28.126,1,0.0504,85.754,3,0.155
86,The Weeknd,Secrets,6kP57bEoT8R9ytlGUfUTmB,5,False,0.0142,0.662,265600,0.783,1.45e-05,0,0.27,-5.759,1,0.0503,109.952,4,0.728
87,illusionize,Better Day,0VkD6Dkx6FsNZpmI1JUvB2,36,False,0.00792,0.8,411742,0.386,0.788,7,0.0764,-10.115,1,0.0609,123.004,4,0.286
88,Chemical Surf,I Don't Understand,5XdTuipuFfRimGx4XqvOUS,42,False,0.00482,0.798,324390,0.656,0.789,1,0.0827,-8.829,0,0.0677,123.02,4,0.0598
89,Shapeless,My Swag - Original mix,1ihDKKhHyvTftXqJODPRMH,25,False,0.0471,0.825,384000,0.628,0.314,11,0.121,-5.93,0,0.0706,120.004,4,0.512
90,Maria Gadú,Axé Acapella (Ektor & Guitti Versus Maria Gadú),2LporsdDa3HlrlkBa2ua6k,47,False,0.00444,0.768,228387,0.756,0.0197,10,0.575,-6.705,0,0.0479,124.0,4,0.371
91,Waldeck,Shala-lala-la feat. la Heidi,1OAucswxEuMs62OMtdoGcY,2,False,0.521,0.652,195118,0.602,0.102,5,0.106,-9.796,0,0.0476,172.768,4,0.427
92,Les Deux Love Orchestra,The Moth & The Flame,6NpzkIYecTgirnDViWoisp,39,False,0.699,0.706,235627,0.3,0.0271,2,0.108,-14.218,0,0.0302,108.903,4,0.0819
93,DANNE,Hunkering Down,38fQaB8LJltbAN0ML8JZn7,0,False,0.00249,0.806,270244,0.639,0.0787,11,0.163,-5.878,1,0.0426,122.96,4,0.27
94,Deep Fried Dub,Kryptology - Isaac Chambers Remix,4x14oCSs8hKCXt9l7ECcrK,40,False,0.00172,0.827,383000,0.647,0.0146,7,0.214,-8.383,1,0.0448,119.997,4,0.327
95,Oliver Dollar,Doin Ya Thang,0fEowZULrTsT0lxtrwyR3X,43,False,0.00265,0.821,415417,0.902,0.0527,9,0.0637,-4.691,1,0.127,123.997,4,0.631
96,Jürgen Paape,Ofterschwang,4s599TWPzDc3olRTrBg79w,20,False,0.522,0.905,273895,0.699,0.837,7,0.695,-10.858,1,0.0591,120.96,4,0.932
97,Ambala,Walk with the Dreamers,67yw6kP3lhXD8HRsvCVWtm,42,False,0.298,0.897,297857,0.401,0.0591,9,0.112,-11.805,0,0.0517,112.032,4,0.885
98,Duke Dumont,Worship,1LPGNTuBxFsfy0KFtU4WAW,41,False,0.162,0.755,416900,0.779,0.87,11,0.0742,-6.291,0,0.084,126.014,3,0.725
99,Proleter,Moonlight Jive,2Ag6FZjxfu3raD2EgmPfYq,38,False,0.159,0.753,275959,0.624,0.00113,11,0.135,-5.824,1,0.0746,98.962,4,0.792
100,Durante,Wolf Country,38K0R72OwsLGBhcn6uCkdX,25,False,0.00265,0.802,354551,0.766,0.0731,11,0.349,-7.539,0,0.0509,122.009,4,0.822
101,Charlotte Cardin,Dirty Dirty - NWGSPL Remix,3ka9M5DZS5Tz3085QgwDra,20,False,0.284,0.62,187667,0.78,0.00122,5,0.198,-5.142,1,0.0678,90.008,4,0.732
102,Angel Canales,Dos Gardenias,4GUzyWtooDC3cx30yeCyzk,49,False,0.769,0.539,182267,0.0683,2.25e-05,0,0.0753,-18.162,1,0.0511,85.19,4,0.178
103,Maggie Rogers,Alaska - Sofi Tukker Remix,6hrbuGy0XxLZb9EBmfgLnM,49,False,0.562,0.869,290933,0.469,0.67,7,0.125,-11.502,0,0.0631,122.969,4,0.863
104,OCAD,Muse,2TctfyINiGQ5s5KGXNp0cr,0,True,0.0156,0.572,260634,0.66,0.0,1,0.298,-11.552,0,0.329,143.927,4,0.411
105,Terror Squad,Lean Back,6H7w7e8zC8QYJyqe7fZHVa,5,True,0.11,0.799,247427,0.916,0.0,1,0.0746,-3.344,1,0.471,126.687,5,0.697
106,Imagine Dragons,I’m So Sorry,4o74y4XY1ypNZkZtZkK8Wi,61,False,0.131,0.524,230200,0.679,0.0,2,0.201,-6.01,0,0.0565,142.588,4,0.37
107,Black Pistol Fire,Hipster Shakes,7M0sDlChvalXXbuS5ITb18,44,False,0.053,0.351,170500,0.908,0.0,0,0.133,-4.807,1,0.132,87.856,4,0.583
108,Finley Quaye,Even After All,096O9QxDBQ1xPIyLskGwbq,46,False,0.634,0.677,234560,0.264,0.103,9,0.111,-13.641,1,0.164,94.032,4,0.468
109,Phil Harris,Thomas O'Malley Cat,7LADJ1Oaf63HsUVFLHHLXZ,27,False,0.9,0.579,154853,0.296,0.0,7,0.214,-13.263,0,0.138,105.761,3,0.661
110,Phil Harris,The Bare Necessities,6hhVS4jyOPioRJaY1zVRHj,52,False,0.76,0.786,291813,0.249,0.0,0,0.195,-18.28,1,0.0694,102.925,4,0.568
111,Louis Prima,I Wan'na Be Like You (The Monkey Song),15p4zvWigjysxyDwabL8Gw,56,False,0.638,0.748,279560,0.401,0.000149,5,0.284,-15.08,1,0.0949,96.366,4,0.807
112,Vaughn Monroe,Racing With The Moon,0NraZnpoIxht3Bl1yr67oQ,23,False,0.94,0.285,196551,0.143,0.536,10,0.401,-12.557,1,0.0302,72.705,4,0.262
113,Vaughn Monroe,Riders In the Sky,5myUNeZo3q0uUxHy4kJsC2,19,False,0.982,0.531,184917,0.375,0.000841,4,0.266,-8.841,1,0.0343,122.429,3,0.267
114,Frankie Laine,High Noon,1yGBGPgpGi5ua0HbHcvesQ,40,False,0.935,0.466,158360,0.252,1.75e-06,3,0.171,-17.869,1,0.0416,140.97,4,0.338
115,Frankie Laine,I Believe,049uxirFkHOefJ0yqPW8Kk,44,False,0.977,0.402,130893,0.159,1.76e-05,1,0.155,-18.598,1,0.0306,67.796,4,0.282
116,Real Life,Send Me An Angel '89,5lMRS9GFQYfxhflty2E1ad,41,False,0.0107,0.597,232587,0.882,0.0,9,0.0897,-5.923,0,0.0288,130.858,4,0.65
117,Xavier Rudd,Spirit Bird,7mptueK99zxqmgIdT3SaWF,7,False,0.488,0.392,429236,0.315,0.0,0,0.127,-10.371,1,0.0383,126.243,4,0.253
118,Be Svendsen,Scarecrow,4kGJhEhdNeWD6aFix6gTkd,40,False,0.00397,0.826,206495,0.513,0.044,2,0.134,-11.565,1,0.0404,123.047,4,0.0958
119,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,6aBUnkXuCEQQHAlTokv9or,70,False,0.331,0.942,296147,0.641,0.179,7,0.028,-10.15,1,0.0333,114.443,4,0.966
120,Carla Bruni,Quelqu'un m'a dit,2RHSAwAN2SVNKeA27L8SUQ,8,False,0.86,0.565,166227,0.412,0.00158,10,0.114,-10.73,1,0.0489,133.485,3,0.409
121,Chara,Aishitaina,1EGFQVpOz2j1Cq6esjCLhH,3,False,0.925,0.32,305588,0.245,0.163,5,0.0702,-10.874,1,0.0285,143.176,4,0.0781
122,Losless,Synecku - 2012 Mix,3M4b1YgLMHOUvML1c4kKQ7,39,False,0.01,0.717,399500,0.657,0.397,6,0.462,-7.44,1,0.0436,117.968,4,0.18
123,Desiigner,Panda,5YEOzOojehCqxGQCcQiyR4,74,True,0.028,0.576,246761,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236
124,Rodrigo Leão,Pasión,2YJBoMSex3Hf8Bz1YEMuUc,41,False,0.86,0.682,214667,0.289,0.000587,2,0.118,-10.704,1,0.0397,129.206,4,0.861
125,City of the Sun,Perfect Instance,1DprJIKazijA5UkXiR6oQ6,2,False,0.727,0.481,253061,0.256,0.816,5,0.114,-14.291,0,0.0284,104.112,3,0.0383
126,Emmit Fenn,Modern Flame (feat. Yuna),3Tpe3ZbwDoZqcKZr6QIfsA,39,False,0.128,0.617,185089,0.524,0.00438,5,0.362,-8.885,0,0.103,142.046,4,0.24
127,BLOW,The Way We Do - French 79 Remix,2AHCwRVNNLhUsEv4pgXCFM,35,False,0.873,0.597,353133,0.298,0.914,6,0.365,-21.155,0,0.0472,126.015,4,0.112
128,Max Richter,Vladimir's Blues,370TxU3tPIvVLmCrGd2EZ6,52,False,0.995,0.383,78547,0.17,0.847,9,0.105,-21.87,1,0.0685,115.803,3,0.069
129,Antonín Dvořák,"Symphony No.9 In E Minor, Op.95, B. 178 ""From The New World"": 2. Largo",1e6trFi8oxi8goRZpViKZr,36,False,0.935,0.0882,747000,0.00575,0.856,1,0.0715,-33.459,1,0.0419,85.743,4,0.036
130,J Lisk,Hold Me (feat. Hannah Young),6LQteKYnFTQelpwFDFkaWo,28,False,0.219,0.761,162868,0.426,0.000947,7,0.0763,-12.34,1,0.0429,112.001,4,0.453
131,Die Vogelperspektive,With Love from Russia - Sous Sol Remix,2zNqTGHcD1ZcHnGfb5dQiH,8,False,0.000127,0.806,463406,0.612,0.876,1,0.0499,-9.048,1,0.064,121.999,4,0.609
132,Cristian Lange,Such As We Are,5DBuC7LJxrn3wb0ZbEFc8z,0,False,0.525,0.805,152494,0.0539,0.922,10,0.118,-22.247,1,0.307,107.023,4,0.0633
133,Cristian Lange,The Banker,1XjlpgEv1G5Y4AJ7bZhPBI,0,False,7.4e-05,0.806,433899,0.652,0.876,9,0.101,-12.499,1,0.0547,124.995,4,0.332
134,Cristian Lange,Long Nights,5CPgwnkDwbsTfzARVsyUzI,0,False,0.168,0.807,433813,0.318,0.906,10,0.0997,-14.701,0,0.101,123.997,4,0.339
135,Cristian Lange,Crisis - Original Mix,3W0J7YSzk3IHi2Zy9D5aGW,0,False,0.0028,0.8,426667,0.479,0.87,8,0.0947,-10.629,1,0.0422,126.022,4,0.116
136,Cristian Lange,No Coin,7Lluf6BQ1aHZqpGeVg4fXT,0,False,0.794,0.85,145204,0.108,0.863,8,0.071,-21.594,1,0.0673,125.999,4,0.109
137,Cristian Lange,Plan De Rescate,0Aig3VLuoeKOLDyGsqmVnU,0,False,0.0201,0.773,472331,0.418,0.896,5,0.115,-13.342,1,0.088,125.014,4,0.574
138,Cristian Lange,Crisis - Viatone Fixed Mix,0GkzUROxVqAxJNs0fUcUuy,0,False,0.0803,0.832,430382,0.628,0.886,2,0.137,-11.532,0,0.0754,126.005,4,0.132
139,Nicholas Britell,Mouseclick Symphony Mvmt 1,0pkBYeNzqVdZYhRC25DNw2,14,False,0.00488,0.664,48733,0.761,0.722,1,0.229,-18.061,1,0.123,64.156,5,0.0643
140,Mahmut Orhan,Undesirable Life - Erdi Irmak Remix,0vNnKNzowwUgsNayBzhZBG,31,False,0.42,0.773,548576,0.643,0.898,1,0.108,-8.629,1,0.0453,125.995,4,0.373
141,Drake,Passionfruit,7hDc8b7IXETo14hHIHdnhd,15,True,0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,4,0.364
142,Jay Rock,Hood Gone Love It (feat. Kendrick Lamar),6i6cWTCYBOKEdJnWjzm2yk,61,True,0.0879,0.61,245467,0.856,0.0,11,0.289,-3.974,1,0.325,91.77,4,0.67
143,Extremoduro,So payaso,5HSpMRUC4m3L3q48to2Kmu,60,False,0.0392,0.435,281667,0.899,0.000447,4,0.115,-3.84,0,0.0656,150.546,4,0.377
144,Morse,Shaman,4hQVpahXsbvhqvhqGcDP59,0,False,0.0753,0.9,348000,0.379,0.836,6,0.0775,-14.47,0,0.0586,100.022,4,0.423
145,NBSPLV,Shining Star,48k8lIMEUL2ceRVSbjoGA2,32,False,0.0228,0.795,192857,0.606,0.83,0,0.112,-9.677,1,0.0527,111.996,4,0.814
